output/traj10_set0_rep0_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep9_counts.csv:1736,3115,268,1,1,8,7,289,84,0.5581572166307458,0.9963057127989688,0.6725276586907375,0.8329587227613433
output/traj10_set0_rep9_counts.csv:2083,3115,252,2,0,8,17,293,92,0.5971008111073395,0.9980107684302139,0.7227587889418908,0.8280483219775949
output/traj10_set0_rep9_counts.csv:2431,3115,271,5,2,15,10,333,76,0.5281300266818476,0.9971582406145912,0.6452810721044038,0.8205509494974685
output/traj10_set0_rep9_counts.csv:2778,3115,244,2,0,11,8,293,80,0.6257978045141961,0.9982949443687547,0.7730123670197847,0.8111860470260444
output/traj10_set0_rep9_counts.csv:3125,3115,207,2,4,9,6,261,71,0.5838191418264542,0.9960215368604277,0.7276406319005918,0.8055298693168473
output/traj10_set0_rep9_counts.csv:3472,3115,263,4,1,20,7,269,87,0.542156455772333,0.995453184983346,0.6804899835612314,0.8003763064477636
output/traj10_set10_rep0_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set10_rep0_counts.csv:0,957,0,0,0,0,0,0,0,0.806508836610911,1.0,1.0,0.806508836610911
output/traj10_set10_rep0_counts.csv:347,4915,484,15,18,13,15,334,145,0.5063852107866256,0.9942674404901853,0.6406406611930928,0.7949070398512572
output/traj10_set10_rep0_counts.csv:694,4915,508,18,14,25,21,314,99,0.30391109679048095,0.9941276219655554,0.3866187818882374,0.7907831571895848
output/traj10_set10_rep0_counts.csv:1042,4915,490,11,13,25,23,316,104,0.27204202589619914,0.9928692552438888,0.3539689144833544,0.7740714390191713
output/traj10_set10_rep0_counts.csv:1389,4915,460,17,15,22,17,355,155,0.25781293302561387,0.9961811657258332,0.3399894208871715,0.7613676570114518
output/traj10_set10_rep0_counts.csv:1736,4915,473,16,8,15,24,331,127,0.2352131996689423,0.994407259014815,0.31298639844910103,0.7557403293834548
output/traj10_set10_rep0_counts.csv:2083,4915,497,15,15,15,16,300,142,0.25550467967501006,0.9959452627857409,0.34267812692243216,0.7486561678159571
output/traj10_set10_rep0_counts.csv:2431,4915,479,16,12,21,10,304,115,0.23110884426094017,0.9949665331133338,0.3138182454230545,0.740113906975749
output/traj10_set10_rep0_counts.csv:2778,4915,430,6,11,14,14,355,127,0.23410138352591847,0.994267440490185,0.3182340658591577,0.739666915683483
output/traj10_set10_rep0_counts.csv:3125,4915,448,13,11,22,13,314,140,0.27025323900702364,0.9958054442611113,0.37111306971289915,0.7313893532022911
output/traj10_set10_rep0_counts.csv:3472,4915,493,12,10,21,20,335,127,0.269752817231265,0.9930090737685184,0.37082163564552917,0.7324591615931051
output/traj10_set10_rep1_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set10_rep1_counts.csv:0,957,0,0,0,0,0,0,0,0.806508836610911,1.0,1.0,0.806508836610911
output/traj10_set10_rep1_counts.csv:347,4915,478,16,12,26,18,313,137,0.4252093750086936,0.9935683478670367,0.5402651584828574,0.7920224826514431
output/traj10_set10_rep1_counts.csv:694,4915,512,10,16,21,20,332,115,0.3596949284130604,0.9953859886872221,0.46609205825903766,0.7755588151891138
output/traj10_set10_rep1_counts.csv:1042,4915,457,15,16,25,12,322,124,0.17942522278204395,0.9933847952332405,0.2358271970064756,0.7658767646885022
output/traj10_set10_rep1_counts.csv:1389,4915,453,13,5,11,22,300,144,0.2805198647405395,0.9952461701625924,0.3712044511325863,0.7593139740926562
output/traj10_set10_rep1_counts.csv:1736,4915,461,14,13,15,11,340,138,0.19398199283972709,0.9937081663916667,0.2591195093296482,0.753481768985916
output/traj10_set10_rep1_counts.csv:2083,4915,531,11,11,24,15,327,134,0.20547725498405006,0.9938042508071293,0.27675274647385134,0.7476090320915361
output/traj10_set10_rep1_counts.csv:2431,4915,518,10,17,19,14,350,131,0.2724052006267856,0.9950626175287957,0.3710947934289617,0.7377067246953332
output/traj10_set10_rep1_counts.csv:2778,4915,437,17,15,18,18,323,142,0.270014461226952,0.9925896181946298,0.3705351040877659,0.7341657180805007
output/traj10_set10_rep1_counts.csv:3125,4915,436,19,10,16,16,299,139,0.2694749644000457,0.992869255243889,0.3711130697128991,0.7313457263884228
output/traj10_set10_rep1_counts.csv:3472,4915,503,14,16,18,25,354,130,0.2665493126669843,0.994407259014815,0.37061990063074746,0.7233459434883553
output/traj10_set10_rep2_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set10_rep2_counts.csv:0,957,0,0,0,0,0,0,0,0.806508836610911,1.0,1.0,0.806508836610911
